field_1,Antenas,Nombres,Lat,Long,CentroLat,CentroLong,MINVU,Area
12743,BOLF2,BOLF2A,-33.442797220000003,-70.651122222200001,-33.442797220000003,-70.651122222200001,gran santiago,14692.59
383,TBNC1,TBNC1U2,-36.825205799999999,-73.045477700000006,-36.826412720999997,-73.045477700000006,gran concepcion,188202.89
1520,CMVG1,CMVG1X,-37.442501000000000,-72.371002000000004,-37.440891772000001,-72.371002000000004,los angeles,27453596.64
126,MESAM,MESAMU1,-33.488739000000002,-70.651077000000001,-33.488739000000002,-70.651077000000001,gran santiago,306656.31
5492,COLCU,COLCUL0,-37.111424000000000,-73.142725999999996,-37.111424000000000,-73.142725999999996,gran concepcion,23398451.63
9538,BCIGF,BCIGFU7,-33.414540000000002,-70.591520000000003,-33.414540000000002,-70.591520000000003,gran santiago,61283.83
3124,MASR1,MASR1U9,-33.401192000000002,-70.712222999999994,-33.400588539499999,-70.712222999999994,gran santiago,2242026.12
4475,PCCBE,PCCBEU7,-53.141190000000002,-70.920079999999999,-53.140412802599997,-70.920427165700005,punta arenas,696073.79
8554,REYES,REYESU8,-33.442442000000000,-70.670556000000005,-33.442952066799997,-70.669245122700005,gran santiago,261587.44
236,APIMB,APIMBU8,-33.582971999999998,-70.549750000000003,-33.583359896899999,-70.549195099499997,gran santiago,2460800.55
2632,PAAR2,PAAR2U2,-33.402107000000001,-70.578270000000003,-33.402107000000001,-70.578270000000003,gran santiago,9966.92
1065,MPPVA,MPPVAW1,-41.319332000000003,-72.985487000000006,-41.318728539500000,-72.985487000000006,gran puerto montt,1917433.13
1508,BAHIA,BAHIAU2,-33.569229999999997,-70.604339999999993,-33.570101020199999,-70.603736450100001,gran santiago,2243693.55
1130,INDED,INDEDU9,-33.399293999999998,-70.668845000000005,-33.399696306999999,-70.669679659500005,gran santiago,901576.88
8065,MFRA3,MFRA3U1,-33.436428999999997,-70.735713000000004,-33.436428999999997,-70.736235269399998,gran santiago,702216.30
1085,OBSER,OBSERU7,-33.591889000000002,-70.632638999999998,-33.591017334800000,-70.632638999999998,gran santiago,1119639.59
2648,CHIVV,CHIVVU3,-36.618560000000002,-72.073977999999997,-36.619385406299997,-72.074159333899999,gran chillan,3582977.22
1295,3NORP,3NORPU8,-33.018332999999998,-71.556667000000004,-33.019194993200003,-71.555441838299998,gran valparaiso,206357.20
0,MUPEC,MUPEC,-33.402397000000001,-70.619870000000006,-33.402397000000001,-70.619870000000006,gran santiago,1133908.98
3988,LPROV,LPROVC,-18.444700000000001,-70.292400000000001,-18.444195940099998,-70.292593397199994,arica,1593962.27
1936,RLPMF,RLPMFU7,-33.049594440000000,-71.520872222199998,-33.048926705800000,-71.520203775400006,gran valparaiso,3910483.40
3748,SRIOB,SRIOBU9,-40.342199999999998,-72.952500000000001,-40.342095210200000,-72.953279714100006,la union-rio bueno,73281119.07
5806,AVESE,AVESEW3,-33.548575000000000,-70.657390000000007,-33.548977307000001,-70.658226098699998,gran santiago,951850.86
3090,OCNTR,OCNTRU7,-30.607920000000000,-71.211920000000006,-30.606841352400000,-71.210868399500001,ovalle,1382374.08
5929,PALIC,PALICU7,-33.517740000000003,-70.565719999999999,-33.517136539500001,-70.565719999999999,gran santiago,1183204.54
3434,PLMOF,PLMOFAC,-33.648777777799999,-70.667500000000004,-33.649180084800001,-70.668337070800007,gran santiago,10453788.86
720,MAVIM,MAVIMW3,-33.445079999999997,-70.633189999999999,-33.445482306999999,-70.634025099799999,gran santiago,81237.50
4180,2NENT,2NENTU8,-33.537199999999999,-70.619749999999996,-33.537501730199999,-70.619123009199996,gran santiago,1003348.82
5611,ACEMF,ACEMFU7,-23.651357999999998,-70.390083000000004,-23.651754194999999,-70.390159266200001,antofagasta,7249750.32
695,SBNC1,SBNC1B,-33.591701999999998,-70.706100000000006,-33.592305395200000,-70.705236732000003,gran santiago,1190442.81
5525,ESPEF,ESPEFU9,-33.368277999999997,-70.662278000000001,-33.367566855600003,-70.663292787000003,gran santiago,2072141.58
350,BAHF2,BAHF2U2,-33.439979999999998,-70.652690000000007,-33.439333505100002,-70.653613296000003,gran santiago,2795.33
18484,EBUST,EBUSTU7,-33.437320000000000,-70.632919999999999,-33.437320000000000,-70.632919999999999,gran santiago,28575.98
3188,MEVI5,MEVI5AY,-33.526336999999998,-70.596755999999999,-33.526336999999998,-70.596755999999999,gran santiago,238845.28
1385,MUCHI,MUCHIU7,-36.607261000000001,-72.101941999999994,-36.607261000000001,-72.100187918800003,gran chillan,103792.36
608,QNTG1,QNTG1L0,-34.352454999999999,-70.959557000000004,-34.352454999999999,-70.959557000000004,quinta de tilcoco,49751265.47
28885,HPCRN,HPCRNL0,-37.028023800000000,-73.147699099999997,-37.028023800000000,-73.147699099999997,gran concepcion,7501797.66
1588,AMZF2,AMZF2W1,-34.167900000000003,-70.737799999999993,-34.168074649700003,-70.736602882200003,gran rancagua,472137.64
11539,INTHF,INTHF9A,-33.439810000000001,-70.652959999999993,-33.439810000000001,-70.652959999999993,gran santiago,7380.69
3489,MPLDO,MPLDOU7,-33.354917000000000,-70.517443999999998,-33.354124609899998,-70.517276728699997,gran santiago,284712.45
5843,LIEEE,LIEEEU9,-35.841610000000003,-71.623639999999995,-35.840622843799999,-71.624343060100003,linares,79880098.90
1707,RDBHF,RDBHFU7,-33.457689999999999,-70.519250000000000,-33.456914206100002,-70.518141820200000,gran santiago,3783017.17
3669,LSRG1,LSRG1U7,-37.256259999999997,-72.725099999999998,-37.255455386000001,-72.723349083299993,laja,99800019.84
10812,ESTMO,ESTMOU1,-33.441719999999997,-70.648561999999998,-33.441778216599999,-70.648166333399999,gran santiago,13205.68
1709,MUNIS,MUNISU1,-33.437027999999998,-70.650216999999998,-33.437027999999998,-70.650216999999998,gran santiago,8122.47
2941,MPSER,MPSERU2,-29.913699999999999,-71.258399999999995,-29.914172556099999,-71.258201567100002,gran la serena,391312.28
7218,CLHLS,CLHLSU8,-29.922260000000001,-71.250214000000000,-29.922645231299999,-71.249841036399999,gran la serena,657011.89
2676,EDUAU,EDUAUU2,-33.412616999999997,-70.680628999999996,-33.413052832600002,-70.679724646500006,gran santiago,901906.18
29865,PCIUF,PCIUF8A,-33.444152770000002,-70.654419444400006,-33.444152770000002,-70.654419444400006,gran santiago,14678.64
3632,MELAM,MELAMU8,-33.444656000000002,-70.655321000000001,-33.444656000000002,-70.655321000000001,gran santiago,8943.94
7403,CUROR,CURORU1,-37.486404000000000,-73.338342999999995,-37.485398232500003,-73.338342999999995,curanilahue,84622796.23
5042,RMLLF,RMLLFU1,-34.147900000000000,-70.729299999999995,-34.146693079000002,-70.729299999999995,gran rancagua,969565.83
2817,MSUYO,MSUYOU7,-33.037238879999997,-71.597636111100002,-33.037616924900000,-71.597471975399998,gran valparaiso,1658297.52
4714,LAGCF,LAGCF9C,-39.861240000000002,-72.809410000000000,-39.861065350300002,-72.810700367999999,los lagos,170228923.36
2530,SASAS,SASASU8,-33.599888999999997,-71.614943999999994,-33.599600557700001,-71.614449431799997,gran san antonio,9123711.44
4634,ECDF2,ECDF2C,-18.486540000000002,-70.297340000000005,-18.486365350300002,-70.298384378400002,arica,891321.56
46,VTCNF,VTCNF8B,-33.424191659999998,-70.583600000000004,-33.424401239600002,-70.582175885300003,gran santiago,276816.91
4264,PAHB1,PAHB1U7,-33.473878999999997,-70.743476999999999,-33.473476693000002,-70.743476999999999,gran santiago,832474.96
755,MTOBF,MTOBF6A,-33.415076999999997,-70.600693000000007,-33.415076999999997,-70.600693000000007,gran santiago,31754.93
1740,INDC1,INDC1U1,-33.421298999999998,-70.653191000000007,-33.420460860399999,-70.653191000000007,gran santiago,366479.51
2539,MPCRN,MPCRNU3,-37.038189000000003,-73.139990999999995,-37.038518550600003,-73.139701918399993,gran concepcion,30045020.68
59,RUOVF,RUOVFU9,-33.511400000000002,-70.670230000000004,-33.511802307000004,-70.671065739300005,gran santiago,1492194.93
