X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,conb_Conurbacion,conb_Pob_Conurb_2002,conb_vehicle,conb_motor vehicle,conb_Non-motorized vehicle,conb_private transport,conb_public transport,conb_CO2(movil transport sources),conb_Green spaces,conb_Iliteracy,conb_Municipal spending(M$/hab),conb_Unemployment,conb_Crime reports,conb_Arrested person,conb_Companies,conb_Sales,conb_workers,conb_Income(workers),conb_Professional technicians,conb_University Professional,conb_Professionals,conb_Solid Waste,conb_Municipal spending for Power Consumption,conb_Municipal spending for Water Consumption,conb_Municipal Spending cleaning services garbage collection landfill,conb_Deaths,conb_Birthrate,conb_Year of scholarship,conb_Offence Against Property,conb_Offence Against the Person,conb_Burglary,conb_Robbery,conb_Injuries,conb_Indigenous,conb_Emergency attendence,conb_Respiratory Diseases,conb_Cardiovascular Diseases,conb_Hospitalizations,conb_Street length
-72.4331570986405,-38.5342400135619,Lautaro,Ciudad,13411.42660,6013521.06547,Lautaro,18808,2854,2725,129,2199,189,,299627.40000,1198.10687,16817.79600,1264.24238,469,78,1400,6417486.53000,5567,646002.39940,998.75800,1540.02040,2538.77840,10727,345465,33662,258197,254,547,92345.16468,251.99985,216.99790,98.10381,24.04107,182.74050,2864.18020,,,,,76570.78822
-73.090183997894,-38.9950704206266,Teodoro Schimidt,Pueblo,5457.08387,1335950.62905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.1798496938318,-39.0904081499386,Gualpin,Pueblo,4056.49945,804017.09725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.5969028284124,-38.7661905167774,Padre de Las Casas,Ciudad,18515.12883,6512048.70872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.397549046296,-38.7868509741922,Puerto Saavedra,Pueblo,6220.68403,1125748.20761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.625636202635,-39.3697771634954,Loncoche,Ciudad,16824.12913,5046415.59722,Loncoche,14191,2429,2313,116,1875,194,,34555.50000,929.90002,11638.29240,1041.76770,327,139,935,919558.79000,2550,170524.34900,532.15470,780.95430,1313.10900,20402,183069,15026,262299,168,292,87705.31455,207.99969,118.99762,127.24948,7.95237,107.36624,2384.32950,24911,6999,202,949,52425.04210
-72.6382308906862,-38.9881663236699,Pitrufquen,Ciudad,17658.52389,4537432.93526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.991486718068,-38.1942240494655,Capitan Pastene,Pueblo,5299.67988,1079792.96514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.9571171859272,-39.2809607746764,Pucon,Ciudad,23452.59361,5880999.13072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.3707824353378,-38.4524093493145,Lonquimay,Pueblo,6790.16359,1319238.82412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.2254600912485,-38.6705008437003,Vilcun,Pueblo,9403.78060,1476733.47947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.0051022612771,-38.6831071395056,Cherquenco,Pueblo,6413.70068,1147472.82003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.6028002129843,-38.7325699597359,Temuco,Ciudad,75222.95243,37131712.71000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.8838614235959,-40.9734039437001,Puerto Octay,Pueblo,5976.79375,858899.69009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.6394755435856,-41.0810896864041,Las Cascadas,Pueblo,5251.99087,954866.05289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.4633275487347,-41.3974763562931,Los Muermos,Pueblo,6475.96095,1278420.15164,Los Muermos,5707,2664,2505,159,1982,136,,,461.86271,7945.93760,130.43620,147,54,835,1154308.25000,942,128979.77680,271.42400,342.67280,614.09680,8169,82652,6642,18351,105,179,50877.58060,75.99991,70.99773,43.67043,0.99070,66.49888,476.68840,12847,3486,271,,13817.94939
-73.0048326346427,-41.260069722543,Llanquihue,Ciudad,13598.42663,4113279.58172,Llanquihue,11447,1117,1104,13,955,51,,,443.15893,14378.19370,407.29285,166,100,847,3655903.15000,3497,399796.70020,607.73640,655.11370,1262.85010,6741,171949,12501,35841,93,226,51282.65985,83.99979,82.00030,48.85743,9.58002,68.97481,841.35550,9491,3362,257,268,31655.34507
-73.7740031376086,-42.6229554098037,Chonchi,Pueblo,7421.02000,2000714.38871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6126943724364,-43.1173085588844,Quellon,Pueblo,10637.84360,2252900.57585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.4287664086906,-39.8706922545055,Corral,Pueblo,6009.99457,326906.74660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7049219284066,-41.744757227774,Carelmapu,Pueblo,5178.91453,578125.63728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.9482521059046,-38.7456315758087,Nueva Imperial,Ciudad,14773.03528,3904419.57490,Nueva Imperial,14980,3399,3275,124,2605,240,,32993.40000,1195.20391,15812.83680,463.25733,449,79,1142,1324734.84000,1798,209106.07890,578.88420,1208.75820,1787.64240,5890,214357,26778,372935,239,480,93914.21340,172.21145,163.97420,87.91541,5.08698,145.31193,7561.48740,29352,10825,420,1382,48538.02019
-71.6928823719797,-38.8528546513427,Mellipeuco,Pueblo,5382.48553,1189164.86873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.705710491136,-37.7976165959694,Angol,Ciudad,21408.29495,6912992.76631,Angol,43801,5043,4867,176,4160,396,10434.90000,78393.60000,1237.61544,24963.46200,1288.16364,667,203,2420,8489458.76000,15306,1192680.70500,1097.51040,3101.44680,4198.95720,13913,530553,45594,413670,314,784,168536.44080,425.00012,242.00104,171.59869,15.59543,217.41975,1876.54680,116566,47440,1930,2748,128762.17580
-71.8875148115653,-38.4398586287046,Curacautin,Ciudad,12092.66243,3712002.31843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.6252929571886,-38.9563637989776,Freire,Pueblo,11511.55296,2298426.96640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.3918253986868,-38.985418278843,Radal,Aldea,3257.24390,568289.83623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.5853195302031,-39.3623828588049,Curarrehue,Pueblo,7017.76573,898285.87932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
