X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,datos_com_conb_Comuna,datos_com_conb_Pob_Comun_2002,datos_com_conb_Conurbacion,datos_com_conb_Pob_Conurb_2002,datos_com_conb_vehicle,datos_com_conb_motor vehicle,datos_com_conb_Non-motorized vehicle,datos_com_conb_private transport,datos_com_conb_public transport,datos_com_conb_CO2(movil transport sources),datos_com_conb_Green spaces,datos_com_conb_Iliteracy,datos_com_conb_Municipal spending(M$/hab),datos_com_conb_Unemployment,datos_com_conb_Crime reports,datos_com_conb_Arrested person,datos_com_conb_Companies,datos_com_conb_Sales,datos_com_conb_workers,datos_com_conb_Income(workers),datos_com_conb_Professional technicians,datos_com_conb_University Professional,datos_com_conb_Professionals,datos_com_conb_Solid Waste,datos_com_conb_Municipal spending for Power Consumption,datos_com_conb_Municipal spending for Water Consumption,"datos_com_conb_Municipal Spending cleaning services, garbage collection, landfill",datos_com_conb_Deaths,datos_com_conb_Birthrate,datos_com_conb_Year of scholarship,datos_com_conb_Offence Against Property,datos_com_conb_Offence Against the Person,datos_com_conb_Burglary,datos_com_conb_Robbery,datos_com_conb_Injuries,datos_com_conb_Indigenous,datos_com_conb_Emergency attendence,datos_com_conb_Respiratory Diseases,datos_com_conb_Cardiovascular Diseases,datos_com_conb_Hospitalizations,datos_com_conb_Street length
266284.665787714,6040772.81916248,Yerbas Buenas,Pueblo,5735.70718126000,777991.97466499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251194.556467155,6006480.15832916,Retiro,Pueblo,6156.66646491000,1074417.73500999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305992.715878056,6165189.66042611,Placilla,Pueblo,6215.01970624000,454201.53380300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335388.320221891,6211421.33142977,Los Lirios,Pueblo,4786.51983460000,719884.92894600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337522.040819887,6213474.34399865,Gultro,Ciudad,13457.49745750000,2950077.59832999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257793.109347224,6153954.87084147,Lolol,Pueblo,4902.64741074000,462464.98500599997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234107.781332674,6162101.61739049,Paredones,Pueblo,7885.22433819000,486320.71773600002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348010.961399173,6236089.88252899,La Punta,Pueblo,3928.62025775000,292189.80134700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328802.241833548,6159907.27712733,Puente Negro,Aldea,9219.46298107000,772420.00198800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318974.815703758,6205484.84210377,Coinco,Pueblo,18611.70256260000,2226377.95606999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359673.564292298,6214338.07327564,Coya,Ciudad,6143.46622164000,861249.47339900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280875.867214055,6206491.1967487,Santa Julia,Aldea,1935.36006943000,190962.63798199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317772.819551204,6171006.10335625,San Fernando,Ciudad,31103.55428770000,8335864.39890999999,San Fernando,63732,San Fernando,49519,7603,7549,54,6503,551,17192.65,82851.6,1040.9857416,,1536.6932376,1168,670,4469,20333657.78,27183,1884558.7539,2810.5812,4040.6088,6851.19,25000,,,,404,1097,206824.36104,880.99993932,286.9915692,406.418964,37.4680428,229.6327692,656.4396,92327,13734,827,2585,154020.83483
330950.449008615,6198113.11196278,Rosario,Localidad,10992.24451760000,1744050.05172999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332379.590672704,6204881.81258748,Requinoa,Ciudad,14074.05407870000,2112130.01013999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329400.70154058,6191363.62175571,Rengo,Ciudad,16965.07836940000,5877057.76267000008,Rengo,50830,Rengo,30891,5534,5376,158,4457,524,,55913,1285.6304825,20326.917,1325.39225,920,240,2524,6487228.82,15405,868462.4198,2200.939,2007.785,4208.724,14754,483644,55172,472744,306,805,181089.4995,598.0002093,321.997884,287.885871,53.025856,244.329644,864.11,77949,12153,1497,274,111370.51308
340260.384831142,6217993.58339254,Rancagua,Ciudad,55707.69183800000,32425446.12770000100,Rancagua,214344,Gran Rancagua,239290,33785,33209,576,28885,3089,81299.66,,2181.807576,95447.3832,6713.25408,4837,2322,10464,150222312.31,86027,8272798.0604,15947.1936,17361.864,33309.0576,78094,1691067,429582,3573109,1321,3823,821501.24472,3229.99903512,1607.0012712,2066.7262824,549.2565,857.91186,3386.6352,238749,60045,7763,7148,582930.57597
