X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area
148077.813243597,5950053.14988594,Dichato,Pueblo,2700.67853175000,487682.69849099999
168341.157959062,5955466.17712995,Coelemu,Ciudad,6352.25657599000,1122565.60522000003
183995.467198276,5823849.33352445,Renaico,Ciudad,8422.48721327000,3329463.58520000009
178789.434415154,5759976.71697611,Traiguen,Ciudad,10704.28108910000,4801655.08227000013
209161.536892195,5774083.42010661,Pailahueque,Pueblo,4382.67987015000,812716.22548499994
193795.544485152,5811647.37187551,Mininco,Pueblo,5501.18959227000,1383663.29229000001
107399.082492148,5746692.61629748,Tirua,Pueblo,3130.56341048000,519825.18056100002
193135.086487919,5951864.25285182,Portezuelo,Pueblo,4202.01121381000,844301.10586400004
131778.086395545,5913880.13483738,San Pedro,Ciudad,34816.40226980000,22338906.39160000160
232230.062035586,5887204.98642597,Yungay,Ciudad,10035.07743290000,2593222.02875000006
216129.324119824,5885544.85049382,Campanario,Pueblo,13090.50520740000,2919256.15236000018
234689.77763873,5964772.59763515,San Carlos,Ciudad,14510.50522460000,6058379.39168999996
229448.030137168,5922982.37902412,San Ignacio,Pueblo,6413.29701365000,1814395.44296999997
158444.368460493,5994432.39705587,Cobquecura,Pueblo,5623.62468641000,674092.62844799994
263047.20128313,5919208.84494206,Recinto Los Lleuques,Pueblo,7236.43427205000,859882.96223199996
