Comuna,Pob_Comun_2002,Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,"Municipal Spending cleaning services, garbage collection, landfill",Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
San Carlos,50088,San Carlos,29359,5048,4842,206,3946,424,,75132,1526.9527152,19013.4048,1328.28467376,601,243,3519,16223492.26,8867,1060720.7253,1217.1384,2183.8368,3400.9752,15415,366766,52063,567907,370,641,159207.71328,404.99954688,195.9993528,213.6553728,14.7659424,170.3292528,415.7304,117603,34960,2797,2072,71303.32725
San Felipe,64126,San Felipe,53358,9764,9529,235,7793,944,18741.09,173140.2,874.197695,31004.921,946.6312183,1590,350,4619,13456384.06,32671,2259243.4015,3488.4544,4617.072,8105.5264,25469,686938,200658,838527,396,1166,253748.50578,1049.99976526,539.9986334,606.9333522,30.3444232,293.9728218,436.0568,110465,25479,1534,3251,167557.08275
San Fernando,63732,San Fernando,49519,7603,7549,54,6503,551,17192.65,82851.6,1040.9857416,,1536.6932376,1168,670,4469,20333657.78,27183,1884558.7539,2810.5812,4040.6088,6851.19,25000,,,,404,1097,206824.36104,880.99993932,286.9915692,406.418964,37.4680428,229.6327692,656.4396,92327,13734,827,2585,154020.83483
Mostazal,21866,San Francisco de Mostazal,12037,2559,2406,153,2112,75,,34985.6,735.4213646,14324.4166,354.48962406,257,114,893,8190751.8,10982,650048.5463,815.6018,660.3532,1475.955,6429,159252,39271,190085,117,321,68694.2256,164.99996136,91.9990084,112.7892012,9.5576286,75.5098578,275.5116,22195,7616,232,,40207.97605
San Javier,37793,San Javier,20524,5002,4874,128,4019,310,,22675.8,842.935072,18386.2945,1093.1814215,819,174,2430,4567518.74,7577,559099.7905,1156.4658,1390.7824,2547.2482,18828,398561,18327,734811,265,614,111132.58408,605.99979503,213.001348,247.8275975,14.5767601,189.5092192,230.5373,55114,25274,464,,75991.20544
Mariquina,18223,San José de la Mariquina,7790,1399,1372,27,1164,70,,1822.3,382.58605364,10398.0438,445.1295764,394,95,764,1558507.94,2516,272484.9593,450.1081,435.5297,885.6378,8235,157893,9717,180532,145,322,67875.2081,223.99984945,169.9987224,94.048903,13.7146298,147.9288471,2520.2409,32233,10269,437,1578,20565.25323
San José de Maipo,13376,San José de Maipo,5281,3792,3585,207,2727,322,,60192,150.73160256,15492.0832,399.7899136,192,78,654,883207.83,1296,152057.3113,869.44,1241.2928,2110.7328,5921,133847,24918,252698,93,195,52099.52,116.000016,75.9984192,81.4772288,5.81856,64.9886336,272.8704,22135,49070,3802,17138,27642.76307
San Vicente,40253,San Vicente de Tagua Tagua,18914,6203,6039,164,4975,426,,52328.9,856.6361689,20078.1964,609.8087982,527,181,3232,4182031.53,9880,567563.605,1525.5887,1525.5887,3051.1774,11240,341302,50899,299355,271,591,147949.49897,380.99987789,145.997631,152.7078061,9.5439863,126.9378355,523.289,61087,12708,1246,1583,52831.75291
Santa Bárbara,12943,Santa Bárbara,6838,1294,1236,58,962,68,,3882.9,613.4774912,6813.1952,358.1794048,191,126,657,684516.87,1079,104925.7345,230.3854,376.6413,607.0267,3664,83843,18142,104766,121,173,45652.03188,73.88576265,49.9043251,38.350109,0.6186754,46.3903006,539.7231,10041,8261,,,19625.98472
Palmilla,12373,Santa Cruz,20691,1258,1209,49,1004,96,,,,,,40,27,865,988655.9,3662,144418.9434,,,,2872,87463,10453,50001,61,146,,,,,,,,,,,,6022.18789
