X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,datos_com_conb_Comuna,datos_com_conb_Pob_Comun_2002,datos_com_conb_Conurbacion,datos_com_conb_Pob_Conurb_2002,datos_com_conb_vehicle,datos_com_conb_motor vehicle,datos_com_conb_Non-motorized vehicle,datos_com_conb_private transport,datos_com_conb_public transport,datos_com_conb_CO2(movil transport sources),datos_com_conb_Green spaces,datos_com_conb_Iliteracy,datos_com_conb_Municipal spending(M$/hab),datos_com_conb_Unemployment,datos_com_conb_Crime reports,datos_com_conb_Arrested person,datos_com_conb_Companies,datos_com_conb_Sales,datos_com_conb_workers,datos_com_conb_Income(workers),datos_com_conb_Professional technicians,datos_com_conb_University Professional,datos_com_conb_Professionals,datos_com_conb_Solid Waste,datos_com_conb_Municipal spending for Power Consumption,datos_com_conb_Municipal spending for Water Consumption,"datos_com_conb_Municipal Spending cleaning services, garbage collection, landfill",datos_com_conb_Deaths,datos_com_conb_Birthrate,datos_com_conb_Year of scholarship,datos_com_conb_Offence Against Property,datos_com_conb_Offence Against the Person,datos_com_conb_Burglary,datos_com_conb_Robbery,datos_com_conb_Injuries,datos_com_conb_Indigenous,datos_com_conb_Emergency attendence,datos_com_conb_Respiratory Diseases,datos_com_conb_Cardiovascular Diseases,datos_com_conb_Hospitalizations,datos_com_conb_Street length
-73.03454506,-36.86841036,Chiguayante,Ciudad,13031.30228,1609025.44,Chiguayante,81302,Gran ConcepciÃ_n,848023,11858,11639,219,10593,725,52155.1,138213.4,1193.899545,45090.0892,2148.40535,1207,252,2354,3983982.6,7918,729413.4173,5211.4582,8926.9596,14138.4178,34643,558891,38437,1470258,389,1211,305784.9522,681.9993879,524.9995348,457.2505782,126.1075322,332.9642108,1959.3782,86075,33123,951,,170185.2153
-73.39608946,-37.80035281,CaÃ±ete,Ciudad,11662.12704,3761494.503,CaÃ±ete,31270,CaÃ±ete,19839,2756,2607,149,1974,230,,96937,1140.211769,17576.867,857.2808088,535,133,1519,2792989.52,4407,348338.5526,687.94,1131.974,1819.914,6984,304777,26693,327013,214,550,103686.3168,273.9999353,260.998182,130.818045,20.347389,226.745024,3173.905,53503,15483,565,2304,
-72.00533893,-37.683636,Quillaco,Pueblo,5985.179201,911186.9433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.81532033,-36.28228133,San Gregorio,Pueblo,3788.267206,521522.7731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.0972753,-36.97726113,Pemuco,Pueblo,7144.657946,2108778.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.96109194,-36.67156057,Punta de Parra,Pueblo,6429.030066,606292.4139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.93422256,-36.54729927,Dichato,Pueblo,7630.547121,1059034.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.29670609,-36.74282071,Bulnes,Ciudad,5648.842166,1749626.654,Bulnes,20595,Bulnes,10681,1291,1119,172,753,92,,8238,342.091188,12130.455,639.2037198,293,94,1145,2715910.19,3607,339631.8647,607.5525,698.1705,1305.723,2439,171176,17154,224566,156,267,62907.0156,182.0000745,111.0008715,69.4648755,3.91305,101.751657,142.1055,33570,8835,696,1454,30090.38415
-72.1292461,-36.6282342,ChillÃ¡n Viejo,Ciudad,14745.06316,4474306.62,ChillÃ¡n Viejo,22084,Gran ChillÃ¡n,165528,6716,6538,178,5168,929,,48584.8,392.9715296,13705.3304,422.4443943,427,106,622,1409385.01,1898,159188.8735,980.5296,1104.2,2084.7296,8768,257788,26309,135274,108,371,79198.745,328.9999234,97.99775,169.1899408,19.3080412,57.0076376,280.4668,,,,,1686.76156
-72.10051328,-36.60926215,Chillan,Ciudad,32925.26815,21701062.93,ChillÃ¡n,161953,Gran ChillÃ¡n,165528,19884,19491,393,17207,1143,66921.26,210538.9,3193.037816,64036.2162,5184.913958,3506,1579,10071,36971774.07,45256,4092354.949,8000.4782,16227.6906,24228.1688,52726,1369066,232746,2059587,1136,2543,515820.305,2802.000678,703.9773004,1746.290613,124.0883886,526.509203,1635.7253,252108,84018,5943,11018,512158.5753
-72.95586545,-36.61021515,Tome,Ciudad,28211.64692,6901670.164,TomÃ©,52440,Gran ConcepciÃ_n,848023,3554,3492,62,2843,461,9668.5,183540,938.1925032,73982.352,2270.106624,695,354,1971,10354367.9,9440,1270191.158,2254.92,2905.176,5160.096,16745,329354,108678,415589,334,691,184276.782,321.9994296,372.995232,151.252692,40.98186,311.294328,587.328,88611,27792,1787,3414,137780.7167
-72.33802949,-38.23386139,Victoria,Ciudad,19381.07762,6454703.891,Victoria,33501,Victoria,23977,4197,3994,203,3394,237,,36851.1,987.140466,21316.6863,1645.23411,667,159,1883,3752729.09,4646,484105.8126,877.7262,2107.2129,2984.9391,11706,310841,27463,290640,198,438,96396.44742,433.9997598,232.999455,209.5889562,6.9213066,221.4516603,2358.4704,66721,23169,2202,3442,79513.25991
